10000;-0.00287957;-5.67846e-05;-0.0181856
20000;-0.0018875;-2.66064e-05;-0.0119815
40000;-0.00135068;-3.55642e-05;-0.00852156
80000;-0.00106192;-2.70257e-05;-0.00666915
160000;-0.000907387;-2.25088e-05;-0.00566582
320000;-0.000825047;-2.01267e-05;-0.00512501
640000;-0.000781343;-1.88738e-05;-0.00483473
1280000;-0.000758223;-1.82164e-05;-0.0046795
2560000;-0.000746029;-1.78722e-05;-0.00459677
5120000;-0.000739614;-1.7888e-05;-0.00455235
10000;-0.00073306;-0.000104611;-0.000567861
20000;-0.000497085;-4.27788e-05;-0.000502946
40000;-0.000372091;-3.67375e-05;-0.000409587
80000;-0.00030632;-2.11168e-05;-0.000391837
160000;-0.000271904;-1.32693e-05;-0.000382922
320000;-0.000253977;-9.32813e-06;-0.000378536
640000;-0.000244675;-7.34931e-06;-0.000376417
1280000;-0.000239865;-6.35602e-06;-0.000375411
2560000;-0.000237385;-5.85753e-06;-0.000374942
5120000;-0.000236109;-5.80305e-06;-0.000374267
