,bin,avg_bin,bbs,bbsr
10,3.787176,3.728298,3.701875,3.678494
11,3.635556,3.711366,3.699179,3.673103
12,3.774754,3.705155,3.698507,3.685484
13,3.613913,3.694334,3.694524,3.677519
14,3.763738,3.688826,3.693956,3.676471
15,3.607492,3.685615,3.692076,3.67271
16,3.753875,3.680684,3.69161,3.677607
17,3.623581,3.688728,3.690575,3.675537
18,3.744482,3.684031,3.689968,3.674391
19,3.638183,3.691332,3.688248,3.670952
20,3.735565,3.686874,3.688271,3.674668
21,3.651194,3.69338,3.686485,3.671095
22,3.727519,3.689357,3.686425,3.673671
23,3.661193,3.694356,3.685032,3.670884
24,3.719999,3.690596,3.684749,3.670991
25,3.669352,3.694676,3.683862,3.669218
26,3.713488,3.69142,3.683337,3.672149
27,3.67603,3.694759,3.683293,3.672062
28,3.707289,3.69166,3.682642,3.671329
29,3.681109,3.694199,3.682741,3.671526
30,3.701721,3.691415,3.681835,3.671595
31,3.684692,3.693207,3.681984,3.671893
32,3.696614,3.690653,3.68141,3.67121
33,3.687239,3.691927,3.681112,3.670613
34,3.691723,3.689481,3.680835,3.671095
35,3.689674,3.690698,3.680422,3.670268
36,3.687118,3.688396,3.680181,3.670395
37,3.69147,3.689294,3.67971,3.669451
38,3.68279,3.68713,3.679511,3.670774
39,3.692725,3.687757,3.67929,3.670332
40,3.678748,3.685737,3.678889,3.669507
41,3.693546,3.686147,3.678943,3.669614
42,3.674947,3.684247,3.678388,3.670292
43,3.694055,3.684501,3.67855,3.670616
44,3.671355,3.682705,3.678035,3.669645
45,3.69432,3.682838,3.678231,3.670037
46,3.667903,3.681112,3.677702,3.670372
47,3.694308,3.681106,3.677953,3.670875
48,3.664604,3.679456,3.677348,3.669948
49,3.694031,3.679317,3.677601,3.670454
50,3.661574,3.677803,3.677123,3.670383
51,3.69369,3.677632,3.677229,3.670596
52,3.658702,3.676196,3.676885,3.670433
53,3.693287,3.675994,3.676847,3.670357
54,3.655993,3.67464,3.676618,3.669943
55,3.692829,3.674411,3.676497,3.669701
56,3.653392,3.67311,3.676347,3.670052
57,3.692276,3.672834,3.676132,3.669623
58,3.652865,3.67257,3.676056,3.669371
59,3.691642,3.672253,3.675869,3.668998
60,3.654796,3.673219,3.675821,3.669806
61,3.690927,3.672862,3.675672,3.669509
62,3.65691,3.673918,3.675646,3.669307
63,3.690126,3.673518,3.67546,3.668935
64,3.659129,3.674627,3.67549,3.66957
65,3.689287,3.674208,3.675216,3.669022
66,3.661165,3.675226,3.675341,3.66957
67,3.688492,3.674829,3.675036,3.668959
68,3.663116,3.675804,3.675147,3.66946
69,3.687635,3.675375,3.674943,3.66905
70,3.664921,3.676278,3.674946,3.66947
71,3.68673,3.675825,3.674817,3.669212
72,3.666534,3.676632,3.674789,3.669397
73,3.685799,3.676167,3.674684,3.669188
74,3.668018,3.676908,3.674617,3.669525
75,3.684859,3.676438,3.674524,3.669338
76,3.669352,3.677105,3.674466,3.66942
77,3.683893,3.676623,3.674381,3.669251
78,3.670588,3.67724,3.674333,3.669376
79,3.682929,3.676758,3.674218,3.669146
80,3.67177,3.677349,3.674188,3.669486
81,3.681971,3.676871,3.674055,3.66922
82,3.672829,3.6774,3.674084,3.669226
83,3.681021,3.676925,3.673903,3.668863
84,3.673774,3.677397,3.674004,3.669619
85,3.680058,3.676916,3.673727,3.669065
86,3.674603,3.677331,3.673914,3.669277
87,3.679149,3.676876,3.673598,3.668645
88,3.675314,3.677232,3.673799,3.669563
89,3.678235,3.676775,3.673502,3.668968
90,3.675957,3.677096,3.673684,3.669136
91,3.6773,3.676629,3.673409,3.668587
92,3.676545,3.676922,3.673592,3.669483
93,3.676372,3.676458,3.673343,3.668985
94,3.677044,3.676708,3.673503,3.669054
95,3.675438,3.676241,3.673269,3.668585
96,3.677469,3.676454,3.673409,3.669471
97,3.674514,3.675992,3.673191,3.669034
98,3.677841,3.676178,3.673307,3.669012
99,3.673592,3.675717,3.673109,3.668618
100,3.678197,3.675894,3.673197,3.66927
