N,real_N,V,error
10000.0,7900.0,6.673365286880565,0.056710628239394545
20000.0,15772.0,6.613423086421616,0.0032315722195548346
40000.0,31546.0,6.615430776268669,0.0012238823725017056
80000.0,63030.0,6.615819059109862,0.0008355995313085174
160000.0,125844.0,6.605457515047989,0.011197143593181913
320000.0,251454.0,6.615750727416619,0.0009039312245517905
640000.0,503010.0,6.627871706252369,0.011217047611198794
1280000.0,1005484.0,6.6262268449255,0.009572186284329653
2560000.0,2010400.0,6.624078447051515,0.007423788410344301
5120000.0,4020898.0,6.618745534098632,0.0020908754574611166
